Agency Name,State Name [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2020-21,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2019-20,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2017-18,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2016-17,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2015-16
(ILC) ATOKA-COAL COUNTIES,Oklahoma,†,†,†,†,†,†,†
21ST CENTURY CHARTER SCH OF GARY,Indiana,18684,11753,11182,12027,10287,9726,11405
21ST CENTURY CYBER CS,Pennsylvania,14342,8424,16839,19555,14032,13036,11658
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,14190,11652,†,†,†,†,†
A CENTER FOR CREATIVE EDUCATION (79457),Arizona,†,†,9209,9754,7672,7734,6914
A E R O  SPEC EDUC COOP,Illinois,–,†,–,–,†,†,–
A W BEATTIE CAREER CENTER,Pennsylvania,–,†,–,–,†,†,–
A W BROWN LEADERSHIP ACADEMY,Texas,14348,11620,8134,8235,7805,8123,7175
A+ ACADEMY,Texas,12203,10838,10594,9605,9064,9662,10636
A+ ARTS ACADEMY,Ohio,11724,10989,9546,7669,10235,9569,9632
A+ CHARTER SCHOOLS (1000166),ARIZONA,14233,10454,†,†,†,†,†
A+ CHILDREN'S ACADEMY,Ohio,13368,11284,10109,9708,10437,11262,9962
A+ UNLIMITED POTENTIAL,TEXAS,18628,13211,15515,11033,8929,12043,†
A-C CENTRAL CUSD 262,Illinois,17729,17577,17253,15682,13830,14117,11837
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,–,†,–,–,†,†,†
A.C.E. ACADEMY,North Carolina,13197,10098,9326,9540,8541,7445,7859
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,17691,26016,32721,16406,14689,13979,14232
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,–,†,–,–,†,†,–
ABBEVILLE 60,South Carolina,20782,13459,12142,11551,11261,10962,10502
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,15137,12897,12416,13030,12364,13365,12656
ABBOTT ISD,Texas,13360,14405,12764,12549,11217,10004,13033
ABBOTT UNION FREE SCHOOL DISTRICT,New York,†,†,†,†,†,†,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,18736,16932,15296,15092,14262,12735,12795
ABC UNIFIED,California,18320,14771,13426,13325,12316,12173,11469
ABERDEEN DISTRICT,Idaho,13255,12013,10348,13069,19853,9684,8303
ABERDEEN SCHOOL DIST,Mississippi,14663,14179,12873,11588,10898,12784,12496
ABERDEEN SCHOOL DISTRICT,Washington,19073,14944,15638,15253,14218,13521,12943
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,11519,11385,10155,10236,9899,9728,10175
ABERNATHY ISD,Texas,13742,12831,12154,12563,12581,12466,13524
ABILENE,Kansas,14614,13159,13131,11348,12315,13944,20282
ABILENE ISD,Texas,14351,15131,14545,10731,9601,9903,11417
ABINGDON-AVON CUSD 276,Illinois,18392,14904,15864,12578,11567,11119,9685
ABINGTON,Massachusetts,25930,19492,18092,18107,16487,50945,31872
ABINGTON HEIGHTS SD,Pennsylvania,15484,14865,13848,13951,13889,13735,13396
ABINGTON SD,Pennsylvania,22414,23023,22339,21368,18893,18244,17864
ABLE CHARTER ABLE LEARNING,OKLAHOMA,†,†,†,†,†,4780,3927
ABLE CHARTER DISTRICT,CALIFORNIA,14279,10027,11188,11494,†,†,†
ABQ SCHOOL OF EXCELLENCE,New Mexico,13785,9362,9020,7740,7375,7932,9571
ABQ SIGN LANGUAGE ACADEMY,New Mexico,40584,39207,32786,28105,27398,28825,26796
ABSAROKEE ELEM,Montana,18652,20000,13559,12201,12093,11871,11948
ABSAROKEE H S,Montana,27707,20419,20688,22360,17228,19506,21057
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,26680,22297,21047,21394,19188,19588,18052
ACADEMIA ANTONIA ALONSO,Delaware,20346,14283,14029,13511,12735,13918,11003
ACADEMIA AVANCE CHARTER DISTRICT,CALIFORNIA,27924,19423,15835,13977,†,†,†
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,15168,15486,15629,15715,15450,15057,17390
ACADEMIA MODERNA DISTRICT,CALIFORNIA,14251,15112,12779,12940,†,†,†
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,10850,11753,10323,9185,8817,9184,8084
ACADEMIC ARTS HIGH SCHOOL,Minnesota,23266,21910,20556,19611,17031,14660,14457
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,8599,7450,7625,–,†,†,–
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Arkansas,10804,9104,7914,7847,8174,8403,8012
ACADEMIE LAFAYETTE,Missouri,12313,10603,11314,11619,11932,11051,11756
ACADEMY CHARTER HIGH SCHOOL,New Jersey,28125,23735,21806,19727,21295,21940,21489
ACADEMY CHARTER SCHOOL,New York,23751,22686,20960,–,†,†,–
ACADEMY CHARTER SCHOOL-UNIONDALE,NEW YORK,26292,22767,21640,–,†,†,†
ACADEMY DEL SOL INC. (90199),Arizona,9451,8139,8048,7095,7644,22806,6074
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,27296,26955,17101,15766,14785,15023,13263
